sample,submission_id,status
"str = input ( ) 
 ans = '' 
 for i in str : 
 if i is ' 0 ' : 
 ans + = ' 0 ' 
 elif i is ' 1 ' : 
 ans + = ' 1 ' 
 elif i is 'b' : 
 ans = ans [ : - 1 ] 
 print ( ans )",s029743676,"150    Accepted
Name: status, dtype: object"
"s = input ( ) 
 ans = "" "" 
 
 for i in s : 
 if i = = "" b "" and ans ! = "" "" : 
 ans = ans [ : - 1 ] 
 if i ! = "" b "" : 
 ans + = i 
 print ( ans )",s033402809,"157    Accepted
Name: status, dtype: object"
"s = list ( input ( ) ) 
 
 while "" b "" in s : # bが存在する間実行 
 b = s . index ( 'b' ) # 最初のbのインデックスを取得 
 if b ! = 0 : # bが先頭でないとき 
 del s [ b - 1 : b + 1 ] # bの 1 個前とbを消す 
 elif b = = 0 : # bが先頭の時 
 del s [ b ] 
 
 s = '' . join ( s ) # この区切り文字でリストを連結 
 print ( s )",s034381940,"36    Accepted
Name: status, dtype: object"
"s = input ( ) 
 ans = '' 
 for s in s : 
 if s = = 'b' : 
 ans = ans [ : - 1 ] 
 else : 
 ans + = s 
 print ( ans )",s037556372,"28    Accepted
Name: status, dtype: object"
"in = list ( raw _ input ( ) ) 
 out = [ ] 
 
 while len ( in ) > 0 : 
 if in [ 0 ] = = 'b' : 
 if len ( out ) > 0 : 
 out . pop ( ) 
 else : 
 out . append ( in [ 0 ] ) 
 
 in . pop ( 0 ) 
 
 print '' . join ( out ) 
",s073380377,"196    Accepted
Name: status, dtype: object"
"a = list ( input ( ) ) 
 ans = [ ] 
 for b in a : 
 if b = = "" 0 "" : 
 ans . append ( "" 0 "" ) 
 elif b = = "" 1 "" : 
 ans . append ( "" 1 "" ) 
 elif len ( ans ) ! = 0 : 
 ans . pop ( ) 
 print ( "" "" . join ( ans ) )",s083760550,"132    Accepted
Name: status, dtype: object"
"import sys 
 
 stdin = sys . stdin 
 ni = lambda : int ( ns ( ) ) 
 na = lambda : list ( map ( int , stdin . readline ( ) . split ( ) ) ) 
 ns = lambda : stdin . readline ( ) 
 
 s = input ( ) 
 ans = "" "" 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = ' 0 ' or s [ i ] = = ' 1 ' : 
 ans + = s [ i ] 
 else : 
 if len ( ans ) > 0 : 
 ans = ans [ : - 1 ] 
 print ( ans )",s088221297,"128    Accepted
Name: status, dtype: object"
"s = list ( str ( input ( ) ) ) 
 sentence = [ ] 
 ans = '' 
 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = ' 0 ' : 
 sentence . append ( 0 ) 
 elif s [ i ] = = ' 1 ' : 
 sentence . append ( 1 ) 
 else : 
 if sentence = = [ ] : 
 continue 
 else : 
 sentence . pop ( - 1 ) 
 
 for i in range ( len ( sentence ) ) : 
 ans + = str ( sentence [ i ] ) 
 
 print ( ans )",s092823209,"147    Accepted
Name: status, dtype: object"
"t = "" "" 
 for x in input ( ) : 
 if x = = "" b "" : t = t [ : - 1 ] 
 else : t + = x 
 print ( t )",s094027299,"125    Accepted
Name: status, dtype: object"
"# - * - coding : utf - 8 - * - 
 import sys 
 from collections import deque 
 input = sys . stdin . readline 
 s = list ( input ( ) ) 
 d = deque ( ) 
 for i in s : 
 if ( i = = 'b' ) & ( len ( d ) ! = 0 ) : 
 d . pop ( ) 
 elif ( i = = 'b' ) & ( len ( d ) = = 0 ) : 
 continue 
 else : 
 d . append ( i ) 
 print ( '' . join ( list ( d ) ) )",s096146912,"24    Accepted
Name: status, dtype: object"
"n = input ( ) 
 c = "" "" 
 for i in n : 
 if i = = "" 0 "" : 
 c + = "" 0 "" 
 elif i = = "" 1 "" : 
 c + = "" 1 "" 
 elif i = = "" b "" and len ( c ) ! = 0 : 
 c = c [ 0 : - 1 ] 
 print ( c )",s097038934,"57    Accepted
Name: status, dtype: object"
"s = input ( ) 
 ans = "" "" 
 for i in s : 
 if i = = "" b "" : 
 ans = ans [ : - 1 ] 
 else : 
 ans + = i 
 print ( ans )",s098479212,"161    Accepted
Name: status, dtype: object"
"s = list ( str ( input ( ) ) ) 
 ln = [ ] 
 for i in range ( len ( s ) ) : 
 if s [ i ] = = ' 0 ' : 
 ln . append ( s [ i ] ) 
 if s [ i ] = = ' 1 ' : 
 ln . append ( s [ i ] ) 
 if s [ i ] = = 'b' : 
 if len ( ln ) ! = 0 : 
 ln . pop ( ) 
 print ( '' . join ( ln ) )",s100020445,"102    Accepted
Name: status, dtype: object"
"s = raw _ input ( ) 
 a = [ ] 
 for i in s : 
 	 if i ! = "" b "" : 
 	 	 a . append ( i ) 
 	 else : 
 	 	 if len ( a ) ! = 0 : 
 	 	 	 a . pop ( - 1 ) 
 
 print '' . join ( a )",s104124808,"188    Accepted
Name: status, dtype: object"
"s = list ( input ( ) ) 
 ans = [ ] 
 for i in s : 
 if i = = "" b "" : 
 if len ( ans ) > 0 : 
 ans . pop ( ) 
 else : 
 ans . append ( i ) 
 print ( "" "" . join ( ans ) ) 
",s106200597,"81    Accepted
Name: status, dtype: object"
