X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
0,0,0,0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,0,0,27,5
0,0,0,0,0,0,0,0,27,5,45
0,0,0,0,0,0,0,27,5,45,3
0,0,0,0,0,0,27,5,45,3,1
0,0,0,0,0,27,5,45,3,1,3
0,0,0,0,27,5,45,3,1,3,4
0,0,0,27,5,45,3,1,3,4,4
0,0,27,5,45,3,1,3,4,4,2
0,27,5,45,3,1,3,4,4,2,83
27,5,45,3,1,3,4,4,2,83,5
5,45,3,1,3,4,4,2,83,5,13
45,3,1,3,4,4,2,83,5,13,14
3,1,3,4,4,2,83,5,13,14,2
1,3,4,4,2,83,5,13,14,2,29
3,4,4,2,83,5,13,14,2,29,182
4,4,2,83,5,13,14,2,29,182,28
4,2,83,5,13,14,2,29,182,28,27
2,83,5,13,14,2,29,182,28,27,6
83,5,13,14,2,29,182,28,27,6,2
5,13,14,2,29,182,28,27,6,2,1
13,14,2,29,182,28,27,6,2,1,26
14,2,29,182,28,27,6,2,1,26,182
2,29,182,28,27,6,2,1,26,182,164
29,182,28,27,6,2,1,26,182,164,1
182,28,27,6,2,1,26,182,164,1,6
28,27,6,2,1,26,182,164,1,6,2
27,6,2,1,26,182,164,1,6,2,1
6,2,1,26,182,164,1,6,2,1,26
2,1,26,182,164,1,6,2,1,26,83
1,26,182,164,1,6,2,1,26,83,6
26,182,164,1,6,2,1,26,83,6,2
182,164,1,6,2,1,26,83,6,2,1
164,1,6,2,1,26,83,6,2,1,83
1,6,2,1,26,83,6,2,1,83,8
6,2,1,26,83,6,2,1,83,8,102
2,1,26,83,6,2,1,83,8,102,3
1,26,83,6,2,1,83,8,102,3,4
26,83,6,2,1,83,8,102,3,4,2
83,6,2,1,83,8,102,3,4,2,1
6,2,1,83,8,102,3,4,2,1,1
2,1,83,8,102,3,4,2,1,1,39
1,83,8,102,3,4,2,1,1,39,6
83,8,102,3,4,2,1,1,39,6,2
8,102,3,4,2,1,1,39,6,2,1
102,3,4,2,1,1,39,6,2,1,83
3,4,2,1,1,39,6,2,1,83,8
4,2,1,1,39,6,2,1,83,8,55
2,1,1,39,6,2,1,83,8,55,3
1,1,39,6,2,1,83,8,55,3,182
1,39,6,2,1,83,8,55,3,182,4
39,6,2,1,83,8,55,3,182,4,2
6,2,1,83,8,55,3,182,4,2,1
2,1,83,8,55,3,182,4,2,1,1
1,83,8,55,3,182,4,2,1,1,18
83,8,55,3,182,4,2,1,1,18,1
8,55,3,182,4,2,1,1,18,1,8
55,3,182,4,2,1,1,18,1,8,77
3,182,4,2,1,1,18,1,8,77,3
182,4,2,1,1,18,1,8,77,3,83
4,2,1,1,18,1,8,77,3,83,4
2,1,1,18,1,8,77,3,83,4,26
1,1,18,1,8,77,3,83,4,26,83
1,18,1,8,77,3,83,4,26,83,39
18,1,8,77,3,83,4,26,83,39,1
1,8,77,3,83,4,26,83,39,1,1
8,77,3,83,4,26,83,39,1,1,1
0,0,0,0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,0,0,27,5
